Title,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
regorafenib,N/A,regorafenib,https://cda-amc.ca/sites/default/files/DRR/2025/PX0374-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0374-Supplemental_Material.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0374_consolidated_input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0374%20consolidated%20feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0374-Regorafenib_Recommendation.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0374_Regorafenib_DPI_Table.pdf,Metastatic osteosarcoma,Reimburse with clinical criteria and/or conditions,Complete,"Oct 7, 2024","May 27, 2025",PX0374-000
dabrafenib trametinib,N/A,Dabrafenib trametinib,https://cda-amc.ca/sites/default/files/DRR/2025/PX0373-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0373-Supplemental_Material.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0373-Dabrafanib-Trametinib_DPI_Table.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0373_Dabrafenib_consolidated_feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0373_Dabrafeninb_FINAL_Rec.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0373_Patient_Clinician_Group_Input.pdf,Head and neck cancer,Reimburse with clinical criteria and/or conditions,Complete,"Oct 7, 2024","May 16, 2025",PX0373-000
myelofibrosis,N/A,N/A,https://cda-amc.ca/sites/default/files/DRR/2025/PH0069-Rapid_Algorithm_Report_for_Myelofibrosis.pdf,Myelofibrosis,N/A,Complete,N/A,"Apr 4, 2025",PH0069-000
non small cell lung cancer nsclc,N/A,N/A,https://cda-amc.ca/sites/default/files/DRR/2025//PH0071-NSCLC-EGFR.pdf,Non-Small Cell Lung Cancer (NSCLC) with Activating Epidermal Growth Factor Receptor (EGFR) Mutations,N/A,Complete,N/A,"Apr 4, 2025",PH0071-000
trametinib,N/A,trametinib,https://cda-amc.ca/sites/default/files/DRR/2025/PX0372_trametinib_Combined_Report.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0372_trametinib_Stakeholder_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0372%20Trametinib_FMEC_Nonsponsored_Review_Final_Recommendation.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0372-Trametinib_FMEC_Nonsponsored_Review_DPI_Table.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0372_consolidated_feedback_on_draft_recs.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0372_trametinib_Supplemental_Material.pdf,Gynecological cancers,Reimburse with clinical criteria and/or conditions,Complete,"Aug 28, 2024","Apr 2, 2025",PX0372-000
urothelial carcinoma,N/A,N/A,https://cda-amc.ca/sites/default/files/DRR/2025/PH0070-MUC_Rapid_Algorithm_Report.pdf,Urothelial carcinoma,N/A,Complete,N/A,"Apr 1, 2025",PH0070-000
large b cell lymphoma,N/A,N/A,https://cda-amc.ca/sites/default/files/DRR/2025/PH0064-Rapid_Algorithm_Report_LBCL.pdf,Large B cell lymphoma/  Lymphome B à grandes cellules,N/A,Complete,N/A,"Feb 11, 2025",PH0064-000
colorectal cancer,N/A,N/A,https://cda-amc.ca/sites/default/files/DRR/2025/PH0062-mCRC_Rapid_Algorithm_Report.pdf,Colorectal cancer,N/A,Complete,N/A,"Feb 6, 2025",PH0062-000
blinatumomab,N/A,blinatumomab,https://cda-amc.ca/sites/default/files/DRR/2025/PX0367-Blinatumomab_Supplemental.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0367-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0367-DPI_Table.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0367-FMEC_Recommendation.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0367-Feedback_DRAFT_REC.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0367_consolidated_input.pdf,"Acute lymphoblastic leukemia, pediatrics",Reimburse with clinical criteria and/or conditions,Complete,"Jun 11, 2024","Feb 4, 2025",PX0367-000
dimethyl fumarate,N/A,dimethyl fumarate,https://cda-amc.ca/sites/default/files/DRR/2025/SX0751-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SX0751-Supplemental_Material.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SX0751_Dimethyl-DPI_Table.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SX0751_Dimethyl_FMEC_Recommendation.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SX0751_Feedback_%20DRAFT_REC.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SX0751_Feedback_Input.pdf,Multiple Sclerosis (MS),Reimburse with clinical criteria and/or conditions,Complete,"Jun 21, 2024","Feb 4, 2025",SX0751-000
