"Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued","Project Number",Manufacturer
Abraxane,Nab-paclitaxel,"Metastatic Pancreatic Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 14, 2014","Sep 23, 2014",PC0037-000,"Celgene Inc."
Adcetris,"Brentuximab Vedotin","Primary cutaneous anaplastic large cell Lymphoma (pcALCL) or CD30-expressing mycosis fungoides (MF)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 30, 2020","Dec 3, 2020",PC0213-000,"Seattle Genetics, Inc."
Adcetris,"Brentuximab vedotin","Systemic Anaplastic Large Cell Lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Mar 15, 2013","Dec 5, 2013",PC0021-000,"Seattle Genetics, Inc."
Adcetris,"Brentuximab vedotin",,,Withdrawn,"Apr 5, 2016",,PC0086-000,"Seattle Genetics Inc."
Adcetris,"Brentuximab Vedotin","peripheral T-cell lymphoma (PTCL)",Reimburse,Complete,"Oct 8, 2019","Jun 4, 2020",PC0199-000,"Seattle Genetics, Inc."
Adcetris,"Brentuximab vedotin","Hodgkin Lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Mar 14, 2013","Aug 29, 2013",PC0020-000,"Seattle Genetics, Inc."
Adcetris,"Brentuximab Vedotin","HL at high risk of relapse or progression post-ASCT","Reimburse with clinical criteria and/or conditions",Complete,"Aug 10, 2017","Feb 21, 2018",PC0116-000,"Seattle Genetics, Inc."
Adcetris,"Brentuximab Vedotin","Hodgkin lymphoma (HL) in combination with doxorubicin, vinblastine, and dacarbazine (AVD)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 2, 2020","Dec 3, 2020",PC0214-000,"Seattle Genetics, Inc."
"Adcetris (Resubmission)","Brentuximab Vedotin","Hodgkin lymphoma (HL)","Do not reimburse",Complete,"Aug 27, 2018","Mar 7, 2019",PC0145-000,"Seattle Genetics, Inc."
Afinitor,Everolimus,"Advanced Breast Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Sep 5, 2012","Mar 25, 2013",PC0014-000,"Novartis Pharmaceuticals Canada Inc."
