Date,Trademark / Project,Common name / Subject,Manufacturer,INESSS Recommendation,Minister's Decision
2025-05-22,AG-Escitalopram,escitalopram (oxalate d'),Angita,Inscription,Inscrire aux listes des médicaments
2025-05-22,AG-Irbesartan,irbésartan,Angita,Inscription,Inscrire aux listes des médicaments
2025-05-22,AMB-Buspirone,buspirone (chlorhydrate de),Ambicare,Inscription,Inscrire aux listes des médicaments
2025-05-22,Amlodipine,amlodipine (bésylate d'),Angita,Inscription,Inscrire aux listes des médicaments
2025-05-22,Apo-Fluticasone HFA,fluticasone (propionate de),Apotex,Inscription,Inscrire aux listes des médicaments
2025-05-22,Apo-Levothyroxine,lévothyroxine sodique,Apotex,Inscription,Inscrire aux listes des médicaments
2025-05-22,DAC Azithromycin,azithromycine,Dac Pharmaceutique,Inscription,Inscrire à la Liste des médicaments du RGAM
2025-05-22,DAC Ciprofloxacin,ciprofloxacine (chlorhydrate de),Dac Pharmaceutique,Inscription,Inscrire à la Liste des médicaments du RGAM
2025-05-22,JAMP Dutasteride,dutastéride,Jamp,Inscription,Inscrire aux listes des médicaments
2025-05-22,JAMP Fluconazole 150,fluconazole,Jamp,Inscription,Inscrire aux listes des médicaments
2025-05-22,JAMP Leucovorin,folinique (acide),Jamp,Inscription,Inscrire aux listes des médicaments
2025-05-22,JAMP Nitrofurantoin,nitrofurantoïne (macrocristaux),Jamp,Inscription,Inscrire aux listes des médicaments
2025-05-22,JAMP Nitrofurantoin BID,nitrofurantoine (monohydrate de) (macrocristaux),Jamp,Inscription,Surseoir à la décision
2025-05-22,Jamp Imatinib,imatinib (mésylate d') - tumeur stromale gastro-intestinale,Jamp,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-05-22,Lidocaine Hydrochloride Injection,lidocaïne (chlorhydrate de),Forma Ph,Inscription,Inscrire à la Liste des médicaments - Établissements
2025-05-22,M-Tranylcypromine,tranylcypromine (sulfate de),Mantra Ph.,Inscription,Inscrire aux listes des médicaments
2025-05-22,Mint-Memantine,mémantine (chlorhydrate de),Mint,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-05-22,Mint-Venlafaxine XR,venlafaxine (chlorhydrate de),Mint,Inscription,Inscrire aux listes des médicaments
2025-05-22,Olestyr,cholestyramine (résine de),Phmscience,Inscription,Inscrire aux listes des médicaments
2025-05-22,pms-Levodopa-Carbidopa,lévodopa/carbidopa,Phmscience,Inscription,Inscrire aux listes des médicaments
2025-05-22,pms-Methadone Oral,méthadone (chlorhydrate de),Phmscience,Inscription,Inscrire aux listes des médicaments
2025-05-22,pms-Methadone Oral (sans sucre),méthadone (chlorhydrate de),Phmscience,Inscription,Inscrire aux listes des médicaments
2025-05-22,Riva-Pyrantel Pamoate,pyrantel (pamoate de),Riva,Inscription,Inscrire aux listes des médicaments
2025-05-22,Taro-Tofacitinib XR,tofacitinib (citrate de),Taro,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-05-22,Teva-Rivaroxaban,rivaroxaban,Teva Can,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-05-22,Teva-Sitagliptin malate / Metformin,sitagliptine/metformine (chlorhydrate de),Teva Can,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-05-15,Dexilant et version générique (Inhibiteurs de la pompe à protons),dexlansoprazole,Tous fabricants,Modification des modalités de remboursement,À venir
2025-05-15,Dexilant et version générique (Inhibiteurs de la pompe à protons),dexlansoprazole,Tous fabricants,Modification des modalités de remboursement,À venir
2025-05-15,Losec et versions génériques (Inhibiteurs de la pompe à protons),oméprazole (base ou magnésien),Tous fabricants,Modification des modalités de remboursement,À venir
2025-05-15,Nexium et versions génériques (Inhibiteurs de la pompe à protons),esoméprazole (magnésium trihydraté),Tous fabricants,Modification des modalités de remboursement,À venir
2025-05-15,Nexium et versions génériques (Inhibiteurs de la pompe à protons),esoméprazole (magnésium trihydraté),Tous fabricants,Modification des modalités de remboursement,À venir
