Product,Manufacturer,Status,Indication
Ofev(nintedanib),Boehringer Ingelheim (Canada) Ltd.,Active Negotiation,Idiopathic pulmonary fibrosis and PF-ILD
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"For the treatment of adult patients with resectable Stage II, IIIA, or IIIB (T3-4N2) NSCLC in combination with platinum-containing chemotherapy as neoadjuvant treatment, and then continued as monotherapy as adjuvant treatment after surgery."
Keytruda(pembrolizumab),Merck Canada Inc.,Active Negotiation,"In combination with enfortumab vedotin, for the treatment of adult patients with unresectable locally advanced or metastatic urothelial cancer (mUC) with no prior systemic therapy for mUC."
Gazyva(obinutuzumab),Hoffmann-La Roche Ltd.,Active Negotiation,"In combination with Venclexta, for the treatment of patients with previously untreated chronic lymphocytic leukemia"
Remdantry(infliximab),Celltrion Healthcare Canada Ltd.,Concluded with an LOI,Multiple Indications
Fabhalta(iptacopan),Novartis Pharmaceuticals Canada Inc.,Under consideration for negotiation,Paroxysmal nocturnal hemoglobinuria (PNH)
Opdivo-Yervoy(nivolumab-ipilimumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,In neoadjuvant setting for resectable stage III melanoma.
Opdivo-Yervoy(nivolumab-ipilimumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"​In combination, for the first-line treatment of adult patients with advanced (unresectable or metastatic) melanoma when patients progress during or within 6 months of adjuvant PD-1 therapy."
Blincyto(blinatumomab),Amgen Canada Inc.,Active Negotiation,Indicated for the pediatric patients with Philadelphia chromosome negative relapsed/refractory B precursor acute lymphoblastic leukemia (ALL) who are in first relapse.
Xcopri(cenobamate),Paladin Labs Inc.,Concluded with an LOI,"Epilepsy, partial-onset seizures"
Imdelltra(tarlatamab),Amgen Canada Inc.,Under consideration for negotiation,For the treatment of adult patients with extensive stage small cell lung cancer (ES-SCLC) with disease progression on or after at least two prior lines of therapy including platinum-based chemotherapy
Enhertu (concluded with pTAP LOI)(trastuzumab deruxtecan ),AstraZeneca Canada Inc.,Concluded with an LOI,As monotherapy for the treatment of adult patients with locally advanced or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma who have received a prior anti-HER2-based regimen
Niopeg(pegfilgrastim),Nora Pharma Inc.,Active Negotiation,"To decrease the incidence of infection, as manifested by febrile neutropenia, in patients with non-myeloid malignancies receiving myelosuppressive antineoplastic drug."
Vabysmo(faricimab),Hoffmann-La Roche Ltd.,Active Negotiation,Retinal vein occlusion
Breyanzi(lisocabtagene maraleucel),Bristol Myers Squibb Canada Inc.,Active Negotiation,"Treatment of adult patients with diffuse large B-cell lymphoma (DLBCL) not otherwise specified (NOS), primary mediastinal large B-cell lymphoma (PMBCL), high-grade B-cell lymphoma (HGBCL), and DLBCL arising from follicular lymphoma, who have refractory disease to first-line chemoimmunotherapy or relapse within 12 months of first-line chemoimmunotherapy, and who are candidates for autologous hematopoietic stem cell transplant (HSCT)"
Vyloy(zolbetuximab),Astellas Pharma Inc.,Active Negotiation,In combination with fluoropyrimidine- and platinum-containing chemotherapy for the first-line treatment of adult patients with locally advanced unresectable or metastatic human epidermal growth factor receptor 2 (HER2)-negative gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumours are Claudin (CLDN) 18.2 positive
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,As monotherapy for the treatment of adult and pediatric patients with unresectable or metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) solid tumors
