Drug Name,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
Dabrafenib trametinibOpens in new tab,N/A,Dabrafenib trametinib,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0373_Dabrafeninb_FINAL_Rec.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0373-Dabrafanib-Trametinib_DPI_Table.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0373-Combined_Review.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0373_Patient_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0373-Supplemental_Material.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0373_Dabrafenib_consolidated_feedback.pdf']",Head and neck cancer,Reimburse with clinical criteria and/or conditions,Complete,07-Oct-24,16-May-25,PX0373-000
ruxolitinibOpens in new tab,Opzelura,ruxolitinib,['https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0807-Opzelura_Recommendation.pdf'],atopic dermatitis,Do not reimburse,Active,27-Oct-23,06-May-25,SR0807-000
pemigatinibOpens in new tab,Pemazyre,pemigatinib,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0391-Pemazyre_FINAL_Rec.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0391_Pemazyre_Patient_Clinician_Input.pdf']",Cholangiocarcinoma,Reimburse with clinical criteria and/or conditions,Active,18-Oct-24,05-May-25,PC0391-000
"durvalumab, carboplatin, pacli...Opens in new tab",Imfinzi,"durvalumab, carboplatin, paclitaxel","['https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0366-Imfinzi_FINAL_Rec.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0366-000_Imfinz_Patient_Group_Clinician_Group_Input.pdf']",Endometrial cancer that is mismatch repair deficient (dMMR),Reimburse with clinical criteria and/or conditions,Active,16-Oct-24,05-May-25,PC0366-000
daratumumabOpens in new tab,Darzalex SC,daratumumab,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0388_Darzalex_SC_Final_Rec.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0388_Patient_and_Clinician_Group_Input.pdf']","Multiple myeloma, eligible for autologous stem cell transplant",Reimburse with clinical criteria and/or conditions,Active,01-Oct-24,02-May-25,PC0388-000
blinatumomabOpens in new tab,Blincyto,blinatumomab,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0365-Blincyto_Recommendation-e.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0365_Blincyto_Patient_and_Clinician_Input.pdf']",B-cell precursor acute lymphoblastic leukemia,Reimburse with clinical criteria and/or conditions,Active,18-Oct-24,01-May-25,PC0365-000
ferric carboxymaltoseOpens in new tab,Ferinject,ferric carboxymaltose,"['https://cda-amc.ca/sites/default/files/DRR/2025/SR0852-Ferinject_FINAL_Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0852%20ferric%20carboxymaltose%20HF%20consolidated%20Patient%20and%20Clinician%20Group%20Input.pdf']",Iron deficiency in adult patients with heart failure,Reimburse with clinical criteria and/or conditions,Active,01-Mar-24,16-Apr-25,SR0852-000
olopatadine hydrochloride and ...Opens in new tab,Ryaltris,olopatadine hydrochloride and mometasone,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0848_Ryaltris_FINAL_Rec.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0848_Patient_and_Clinician_Input.pdf']",Seasonal allergic rhinitis,Do not reimburse,Active,21-Jun-24,08-Apr-25,SR0848-000
pembrolizumabOpens in new tab,Keytruda,pembrolizumab,"['https://cda-amc.ca/sites/default/files/DRR/2025/PC0385_Keytruda_FINAL_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0385_Patient_Clinician_Group_Input.pdf']","Non-Small Cell Lung Cancer, neoadjuvant",Reimburse with clinical criteria and/or conditions,Active,17-Sep-24,04-Apr-25,PC0385-000
MyelofibrosisOpens in new tab,,,['https://cda-amc.ca/sites/default/files/DRR/2025/PH0069-Rapid_Algorithm_Report_for_Myelofibrosis.pdf'],Myelofibrosis,,Complete,,04-Apr-25,PH0069-000
Non-small-cell lung cancer (NS...Opens in new tab,,,['https://cda-amc.ca/sites/default/files/DRR/2025//PH0071-NSCLC-EGFR.pdf'],Non-Small Cell Lung Cancer (NSCLC) with Activating Epidermal Growth Factor Receptor (EGFR) Mutations,,Complete,,04-Apr-25,PH0071-000
trastuzumab deruxtecanOpens in new tab,Enhertu,trastuzumab deruxtecan,"['https://cda-amc.ca/sites/default/files/DRR/2025/PC0367_Enhertu_FINAL_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0367-Enhertu_Patient_Clinician_Group_Input.pdf']",Gastric or gastroesophageal junction (GEJ) adenocarcinoma,Time-limited reimbursement recommendation,Active,16-Sep-24,03-Apr-25,PC0367-000
trametinibOpens in new tab,N/A,trametinib,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0372%20Trametinib_FMEC_Nonsponsored_Review_Final_Recommendation.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0372-Trametinib_FMEC_Nonsponsored_Review_DPI_Table.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0372_trametinib_Combined_Report.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0372_trametinib_Stakeholder_Input.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0372_trametinib_Supplemental_Material.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PX0372_consolidated_feedback_on_draft_recs.pdf']",Gynecological cancers,Reimburse with clinical criteria and/or conditions,Complete,28-Aug-24,02-Apr-25,PX0372-000
Urothelial carcinomaOpens in new tab,,,['https://cda-amc.ca/sites/default/files/DRR/2025/PH0070-MUC_Rapid_Algorithm_Report.pdf'],Urothelial carcinoma,,Complete,,01-Apr-25,PH0070-000
