"Drug/device name","Medicinal ingredient","Manufacturer","Outcome","Decision date","Control number / Application number","Type of submission / Type of application"
"ALLURE CARDIAC RESYNCHRONIZATION THERAPY PULSE GENERATORS","N/A","ABBOTT MEDICAL","Approved","2025-04-25","391200","Amendment device licence application"
"RXSIGHT LAL SYSTEM","N/A","RXSIGHT, INC.","Approved","2025-04-25","390778","Amendment device licence application"
"STAINLESS STEEL SCREWS","N/A","ARTHREX INC","Approved","2025-04-25","382356","Amendment device licence application"
"ZYGOMATIC PLUS IMPLANT","N/A","S.I.N. IMPLANT SYSTEM LTDA","Approved","2025-04-25","382731","New device licence application"
"VISULAS YAG","N/A","CARL ZEISS MEDITEC AG","Approved","2025-04-25","383751","New device licence application"
"DAS MULTI-UNIT SYSTEM","N/A","TALLADIUM ESPANA S.L.","Approved","2025-04-25","383989","Amendment device licence application"
"BLUEDIAMOND IMPLANT SYSTEM","N/A","MEGAGEN IMPLANT CO., LTD.","Approved","2025-04-25","390771","Amendment device licence application"
"TENDRIL ENDOCARDIAL PACING LEADS","N/A","ABBOTT MEDICAL","Approved","2025-04-25","391207","Amendment device licence application"
"ISOFLEX ENDOCARDIAL PACING LEADS","N/A","ABBOTT MEDICAL","Approved","2025-04-25","391208","Amendment device licence application"
"QUARTET (QUADRIPOLAR STEROID-ELUTING ENDOCARDIAL LEFT HEART LEAD)","N/A","ABBOTT MEDICAL","Approved","2025-04-25","391209","Amendment device licence application"
"ULTIPACE PACING LEAD","N/A","ABBOTT MEDICAL","Approved","2025-04-25","391211","Amendment device licence application"
"PFC SIGMA KNEE SYSTEM","N/A","DEPUY IRELAND UC","Approved","2025-04-25","392389","Amendment device licence application"
"ATTUNE KNEE SYSTEM WITH AFFIXIUM TECHNOLOGY","N/A","DEPUY IRELAND UC","Approved","2025-04-25","392390","Amendment device licence application"
"PANGEA FEMUR PLATING SYSTEM","N/A","STRYKER GMBH","Approved","2025-04-25","392400","Amendment device licence application"
"RAPID PHANTOM","N/A","SHARPLIGHT TECHNOLOGIES LTD","Approved","2025-04-25","372826","New device licence application"
"SECRET LINE UP STERILE SINGLE USE ABSORBABLE POLYDIOXANONE SUTURE WITH NEEDLE","N/A","HYUNDAE MEDITECH CO., LTD.","Approved","2025-04-17","379168","New device licence application"
"CA 72-4 TEST KIT","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2025-04-17","391104","Amendment device licence application"
"UNIVERSAL CMF FIXATION SYSTEM","N/A","STRYKER LEIBINGER GMBH & CO. KG","Approved","2025-04-15","383834","Amendment device licence application"
"REVOLUTION ASCEND","N/A","GE HEALTHCARE JAPAN CORPORATION","Approved","2025-04-15","391811","Amendment device licence application"
"VIVID T8/VIVID T9","N/A","GE MEDICAL SYSTEMS (CHINA) CO. LTD.","Approved","2025-04-15","392333","Amendment device licence application"
"SAREMCO PRINT CROWNTEC","N/A","SAREMCO DENTAL AG","Approved","2025-04-14","381063","New device licence application"
"PANTA 2 ARTHRODESIS NAIL SYSTEM","N/A","ASCENSION ORTHOPEDICS INC.","Approved","2025-04-14","369836","New device licence application"
"NOVOSORB MTX (MONOLAYER BIODEGRADABLE MATRIX)","N/A","POLYNOVO BIOMATERIALS PTY LTD","Approved","2025-04-14","385728","New device licence application"
"INFUSE BONE GRAFT","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2025-04-14","385853","Amendment device licence application"
"ANTERALIGN SPINAL SYSTEM WITH TITAN NANOLOCK SURFACE TECHNOLOGY","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2025-04-14","385855","Amendment device licence application"
"ANTERALIGN TL SPINAL SYSTEM","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2025-04-14","385856","Amendment device licence application"
"ESOPHAGEAL STENTS","N/A","M.I. TECH CO., LTD.","Approved","2025-04-14","389559","Amendment device licence application"
"CLAREON VIVITY EXTENDED VISION","N/A","ALCON LABORATORIES INC.","Approved","2025-04-14","391533","Amendment device licence application"
